,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
1834,TITAN 3C TRANSTAGE DEB,6941.5,0.001224519196139163,32.4
1858,TITAN 3C TRANSTAGE DEB,7110.5,0.006820898670979537,32.13
1862,TITAN 3C TRANSTAGE R/B,16961.5,0.6045161100138549,26.84
1863,OPS 1509 (TRANSIT 10),7346.5,0.010821479616143742,89.06
1864,SCOUT A R/B,7354.0,0.011422355180853957,89.07
1882,TITAN 3C TRANSTAGE DEB,6906.5,0.0018098892347788314,32.09
1914,TITAN 3C TRANSTAGE DEB,7079.5,0.002895684723497422,31.88
1930,THOR ALTAIR DEB,7161.0,0.024437927663734114,99.04
1941,THOR ABLESTAR DEB,7591.0,0.03451455671189567,67.27
1942,THOR ABLESTAR DEB,7186.0,0.004870581686612858,66.86
1947,THOR AGENA B DEB,7454.5,0.08042122208062244,79.85
1950,THOR AGENA B DEB,7460.0,0.08096514745308311,79.61
1951,OPS 1593 (TRANSIT 11),7385.5,0.022002572608489607,90.16
1952,SCOUT A R/B,7396.0,0.022579772850189292,90.16
1958,TITAN 3C TRANSTAGE DEB,7078.5,0.006427915518824609,31.79
1960,TITAN 3C TRANSTAGE DEB,6931.5,0.0005049412104162159,31.86
1963,TITAN 3C TRANSTAGE DEB,7190.5,0.018288018913844656,32.2
1981,ESSA 1 (OT-3),7110.5,0.007945995358976162,97.9
1982,DELTA 1 R/B,7052.5,0.0064516129032258064,98.02
2008,MIDAS 4 DEB,9993.5,0.012257967678991344,95.84
2010,SCOUT X-4 DEB,7488.5,0.02397008746745009,41.2
2015,DIAPASON (D1-A),7785.5,0.11681972898336651,34.09
2016,DIAMANT R/B,7682.5,0.10536934591604295,34.06
2049,TITAN 3C TRANSTAGE DEB,7104.5,0.008515729467239073,32.27
2087,SCOUT X-4 DEB,7074.5,0.0079864301364054,59.72
2090,ESSA 2 (OT-2),7762.5,0.00392914653784219,101.24
2091,THOR AGENA B DEB,7916.0,0.1307478524507327,79.87
2095,DELTA 1 R/B,7760.0,0.003994845360824742,100.94
2096,TRANSIT 5B-1 DEB,7394.5,0.0038542159713300427,90.02
2117,DELTA 1 DEB,7119.5,0.012852026125430157,97.97
2118,OPS 1117 (TRANSIT 12),7359.5,0.014878728174468375,89.62
2119,SCOUT A R/B,7368.5,0.014996267897129673,89.82
2120,OV1-4,7316.5,0.00840565844324472,144.5
2121,OV1-5,7391.5,0.004802814043157681,144.63
2122,OV1-5 R/B,7392.5,0.00466689212039229,144.64
2123,OV1-4 R/B,7315.0,0.008065618591934382,144.51
2124,OPS 0340,7074.0,0.0151258128357365,97.99
2139,SCOUT A DEB,7458.0,0.03177795655671762,89.94
2140,SCOUT A DEB,7256.0,0.011438809261300992,90.21
2141,OAO 1,7155.5,0.0006288868702396757,35.04
2143,ATLAS AGENA D R/B,7123.0,0.0007019514249613927,35.04
2149,OPS 1527 (OV3-1),7879.5,0.14855003490069166,82.37
2152,THOR AGENA B DEB,7895.0,0.1286890436985434,79.74
2153,DELTA 1 DEB,7043.0,0.004969473235837001,97.81
2172,NIMBUS 2,7511.0,0.005458660631074424,100.58
2173,THOR AGENA B R/B,7501.5,0.005665533559954676,100.32
2175,OPS 0082 (TRANSIT 13),7258.5,0.006544051801336364,90.22
